,,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Present
,Fully Stocked,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory,Inventory
Kitchen Products,,,,,,,,,
Dish Soap,20,15,0,10,15,10,0,12,12
Dishwasher Soap,15,5,0,8,0,12,0,5,10
Scouring Pads,20,15,0,10,10,0,0,0,0
Window Cleaner,20,0,10,0,10,12,5,10,0
Paper Towels,20,0,5,6,12,10,5,15,0
Trash Bags,20,10,0,10,5,10,0,10,10
Bathroom Products,,,,,,,,,
Toothpaste,20,0,15,15,15,0,10,15,12
Mouthwash,20,8,10,5,0,10,8,10,10
Hand Soap,20,0,5,15,0,5,50,5,5
Shampoo,20,5,0,5,0,5,0,5,10
Hand Lotion,20,6,15,12,0,0,6,12,15
Toilet Paper,20,0,10,5,10,10,10,0,10
Cleaning Solvent,15,15,15,15,15,15,15,15,15
OTC Medicines,,,,,,,,,
Asprin,20,10,5,15,15,0,12,10,0
Vitamins,20,5,10,5,0,10,0,5,5
Antacid,20,10,5,10,10,4,6,15,5
Laxatives,10,5,5,0,0,5,5,5,5
Motion Sickness,10,0,5,5,10,10,5,5,0
Office Products,,,,,,,,,
Pens,20,10,15,10,0,15,10,5,5
Ink Refills,10,0,8,0,0,8,8,0,0
Pencils ,20,20,20,20,20,20,20,20,20
Notebooks,15,10,0,0,0,10,10,5,0
Paper,15,10,5,15,10,5,5,10,10
Staplers,10,5,5,0,0,5,5,5,0
Paper Clips,10,6,0,5,5,10,5,5,10
